"speciesid","nlnaam","ennaam","latnaam","remarks.x","length_num","length_remarks","length_code","vers_gew","deleted_reason.x","fykedate","fykenr","vistijd","temp","zoutgehalte","year","month","decade"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,32,NA,"10",0.316,NA,2022-10-17,1,46.67,14,30.6,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,30,NA,"10",0.325,NA,2022-08-31,1,16.75,20.3,32.9,2022,8,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,32,NA,"10",0.376,NA,2022-11-04,1,21,13.9,31.5,2022,11,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,33,NA,"10",0.4048,NA,2022-10-25,1,48,14.2,31.3,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,38,NA,"10",0.651,NA,2022-10-10,1,24,14.5,31.7,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax","parasiet op staart",40,NA,"10",0.8722,NA,2022-11-07,1,43.5,12.4,30.3,2022,11,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,48,NA,"10",1.516,NA,2022-10-20,1,25,13.1,28.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,54,NA,"10",1.8389,NA,2022-10-25,1,48,14.2,31.3,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,58,NA,"10",2.187,NA,2022-10-03,1,23.15,14.1,32.6,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-08-31,1,16.75,20.3,32.9,2022,8,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-08-31,1,16.75,20.3,32.9,2022,8,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-01,1,24,20,32.7,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-10,1,24.17,19.9,32.2,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-10,1,24.17,19.9,32.2,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,10,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,11,NA,"10",NA,NA,2022-10-06,1,23.33,15.3,31.8,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,11,NA,"10",NA,NA,2022-08-31,1,16.75,20.3,32.9,2022,8,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,11,NA,"10",NA,NA,2022-09-01,1,24,20,32.7,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,11,NA,"10",NA,NA,2022-09-01,1,24,20,32.7,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,11,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,11,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,11,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,11,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,12,NA,"10",NA,NA,2022-09-14,1,27.25,20,32.7,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,12,NA,"10",NA,NA,2022-08-31,1,16.75,20.3,32.9,2022,8,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,12,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,12,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,12,NA,"10",NA,NA,2022-09-04,1,47.75,19.5,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,12,NA,"10",NA,NA,2022-09-08,1,25.73,20,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,12,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,13,NA,"10",NA,NA,2022-09-14,1,27.25,20,32.7,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,13,NA,"10",NA,NA,2022-10-01,1,24.75,14.2,34.2,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,13,NA,"10",NA,NA,2022-10-14,1,24,13.4,30,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,13,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,15,NA,"10",NA,NA,2022-10-13,1,24,13.5,30.6,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,15,NA,"10",NA,NA,2022-10-18,1,24,13.8,30,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,19,NA,"10",NA,NA,2022-09-08,1,25.73,20,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,19,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,21,NA,"10",NA,NA,2022-10-01,1,24.75,14.2,34.2,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,21,NA,"10",NA,NA,2022-10-06,1,23.33,15.3,31.8,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,22,NA,"10",NA,NA,2022-10-09,1,24,14.9,31.5,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,22,NA,"10",NA,NA,2022-10-20,1,25,13.1,28.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,23,NA,"10",NA,NA,2022-10-05,1,20.67,15.4,32.3,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,23,NA,"10",NA,NA,2022-10-20,1,25,13.1,28.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,23,NA,"10",NA,NA,2022-09-05,1,24.5,NA,NA,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,24,NA,"10",NA,NA,2022-10-01,1,24.75,14.2,34.2,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,25,NA,"10",NA,NA,2022-10-17,1,46.67,14,30.6,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,27,NA,"10",NA,NA,2022-08-31,1,16.75,20.3,32.9,2022,8,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,27,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,28,NA,"10",NA,NA,2022-10-05,1,20.67,15.4,32.3,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,28,NA,"10",NA,NA,2022-10-20,1,25,13.1,28.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,28,NA,"10",NA,NA,2022-08-31,1,16.75,20.3,32.9,2022,8,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,28,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,30,NA,"10",NA,NA,2022-09-04,1,47.75,19.5,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,30,NA,"10",NA,NA,2022-09-13,1,22.75,19.5,32.6,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,31,NA,"10",NA,NA,2022-10-20,1,25,13.1,28.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,31,NA,"10",NA,NA,2022-10-20,1,25,13.1,28.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,31,NA,"10",NA,NA,2022-10-21,1,22.5,13.9,30.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,31,NA,"10",NA,NA,2022-09-08,1,25.73,20,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,31,NA,"10",NA,NA,2022-09-09,1,21.18,19.8,31.1,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,31,NA,"10",NA,NA,2022-09-10,1,24.17,19.9,32.2,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,32,NA,"10",NA,NA,2022-10-20,1,25,13.1,28.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,32,NA,"10",NA,NA,2022-10-20,1,25,13.1,28.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,32,NA,"10",NA,NA,2022-10-25,1,48,14.2,31.3,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,33,NA,"10",NA,NA,2022-10-20,1,25,13.1,28.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,36,NA,"10",NA,NA,2022-10-25,1,48,14.2,31.3,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,37,NA,"10",NA,NA,2022-10-23,1,19.5,13.8,29.2,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,37,NA,"10",NA,NA,2022-09-06,1,23.83,20,32.8,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,38,NA,"10",NA,NA,2022-09-30,1,23.83,13.9,32.6,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,38,NA,"10",NA,NA,2022-10-22,1,28,13.8,29.2,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,39,NA,"10",NA,NA,2022-10-06,1,23.33,15.3,31.8,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,39,NA,"10",NA,NA,2022-09-10,1,24.17,19.9,32.2,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,42,NA,"10",NA,NA,2022-10-05,1,20.67,15.4,32.3,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,43,NA,"10",NA,NA,2022-10-20,1,25,13.1,28.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,43,NA,"10",NA,NA,2022-10-25,1,48,14.2,31.3,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,43,NA,"10",NA,NA,2022-10-25,1,48,14.2,31.3,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,43,NA,"10",NA,NA,2022-09-01,1,24,20,32.7,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,45,NA,"10",NA,NA,2022-10-21,1,22.5,13.9,30.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,46,NA,"10",NA,NA,2022-10-06,1,23.33,15.3,31.8,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,47,NA,"10",NA,NA,2022-10-11,1,23.83,13.2,31.3,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,47,NA,"10",NA,NA,2022-10-20,1,25,13.1,28.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,47,NA,"10",NA,NA,2022-10-21,1,22.5,13.9,30.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,48,NA,"10",NA,NA,2022-10-25,1,48,14.2,31.3,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,51,NA,"10",NA,NA,2022-10-21,1,22.5,13.9,30.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,52,NA,"10",NA,NA,2022-10-21,1,22.5,13.9,30.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,52,NA,"10",NA,NA,2022-10-21,1,22.5,13.9,30.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,53,NA,"10",NA,NA,2022-10-21,1,22.5,13.9,30.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,57,NA,"10",NA,NA,2022-10-21,1,22.5,13.9,30.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,58,NA,"10",NA,NA,2022-10-21,1,22.5,13.9,30.1,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,7,NA,"10",NA,NA,2022-10-08,1,21.5,14.7,31.6,2022,10,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,7,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,7,NA,"10",NA,NA,2022-09-02,1,24.83,19.6,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,7,NA,"10",NA,NA,2022-09-06,1,23.83,20,32.8,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,7,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,7,NA,"10",NA,NA,2022-09-12,1,25.25,19.8,32.7,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,7,NA,"10",NA,NA,2022-09-13,1,22.75,19.5,32.6,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-09-14,1,27.25,20,32.7,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-08-31,1,16.75,20.3,32.9,2022,8,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-08-31,1,16.75,20.3,32.9,2022,8,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-08-31,1,16.75,20.3,32.9,2022,8,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-09-01,1,24,20,32.7,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-09-04,1,47.75,19.5,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-09-04,1,47.75,19.5,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-09-04,1,47.75,19.5,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-09-04,1,47.75,19.5,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-09-04,1,47.75,19.5,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-09-04,1,47.75,19.5,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-09-04,1,47.75,19.5,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-09-11,1,24,19.7,32.9,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-09-13,1,22.75,19.5,32.6,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,8,NA,"10",NA,NA,2022-09-13,1,22.75,19.5,32.6,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,9,NA,"10",NA,NA,2022-09-15,1,26.5,14.9,32.3,2022,9,"2020s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,28,NA,"5",NA,NA,1980-11-20,1,24,NA,NA,1980,11,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,25,NA,"5",NA,NA,1981-04-24,1,24,NA,NA,1981,4,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,41,NA,"5",NA,NA,1981-05-12,1,24,NA,NA,1981,5,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,55,NA,"5",NA,NA,1981-05-12,1,24,NA,NA,1981,5,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,25,NA,"5",NA,NA,1981-05-15,1,24,NA,NA,1981,5,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,37,NA,"5",NA,NA,1981-05-26,1,24,NA,NA,1981,5,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,38,NA,"5",NA,NA,1981-06-04,1,24,NA,NA,1981,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,45,NA,"5",NA,NA,1981-06-05,1,25,NA,NA,1981,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,46,NA,"5",NA,NA,1981-06-05,1,25,NA,NA,1981,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,38,NA,"5",NA,NA,1981-06-12,1,24,NA,NA,1981,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,45,NA,"5",NA,NA,1981-06-17,1,23,NA,NA,1981,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,46,NA,"5",NA,NA,1981-06-17,1,23,NA,NA,1981,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,35,NA,"5",NA,NA,1981-06-19,1,24,NA,NA,1981,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,29,NA,"5",NA,NA,1981-09-02,1,24,NA,NA,1981,9,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,48,NA,"5",NA,NA,2008-04-24,1,24,10,NA,2008,4,"2000s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,20,NA,"5",NA,NA,1981-11-04,1,24,NA,NA,1981,11,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,50,NA,"5",NA,NA,2014-04-07,1,23,10.5,NA,2014,4,"2010s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,48,NA,"5",NA,NA,1982-05-14,1,24,NA,NA,1982,5,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,33,NA,"5",NA,NA,1982-06-08,1,24,NA,NA,1982,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,27,NA,"5",NA,NA,1982-06-09,1,24,NA,NA,1982,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,33,NA,"5",NA,NA,1982-06-09,1,24,NA,NA,1982,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,49,NA,"5",NA,NA,1982-06-10,1,24,NA,NA,1982,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,47,NA,"5",NA,NA,1982-06-11,1,24,NA,NA,1982,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,47,NA,"5",NA,NA,1982-06-11,1,24,NA,NA,1982,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,35,NA,"5",NA,NA,1982-06-16,1,24,NA,NA,1982,6,"1980s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,48,NA,"10",NA,NA,2019-03-28,1,15.75,NA,NA,2019,3,"2010s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,21.7,NA,"15",NA,NA,2015-04-17,1,24,9.5,NA,2015,4,"2010s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,33.4,NA,"15",NA,NA,2015-05-01,1,24,10,NA,2015,5,"2010s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,33,NA,"15",NA,NA,2015-05-01,1,24,10,NA,2015,5,"2010s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,27.2,NA,"15",NA,NA,2015-05-01,1,24,10,NA,2015,5,"2010s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,23.3,NA,"15",NA,NA,2015-05-01,1,24,10,NA,2015,5,"2010s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,18.9,NA,"15",NA,NA,2015-05-01,1,24,10,NA,2015,5,"2010s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,22.5,NA,"15",NA,NA,2015-10-16,1,22,10,NA,2015,10,"2010s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,21.7,NA,"15",NA,NA,2015-10-16,1,22,10,NA,2015,10,"2010s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,20.1,NA,"15",NA,NA,2015-10-16,1,22,10,NA,2015,10,"2010s"
79,"Zeebaars","Seabass","Dicentrarchus labrax",NA,20.8,NA,"15",NA,NA,2015-10-16,1,22,10,NA,2015,10,"2010s"
